MoleculeType	Identifier	MoleculeName	
Proteins	P01704	UniProt:P01704 Ig lambda chain V-II region TOG	
Proteins	P01760	UniProt:P01760 Ig heavy chain V-I region WOL	
Proteins	P01604	UniProt:P01604 Ig kappa chain V-I region Kue	
Proteins	P01706	UniProt:P01706 Ig lambda chain V-II region BOH	
Proteins	P01718	UniProt:P01718 Ig lambda chain V-IV region Kern	
Proteins	P01620	UniProt:P01620 Ig kappa chain V-III region SIE	
Proteins	P01713	UniProt:P01713 Ig lambda chain V-II region NIG-58	
Proteins	P01711	UniProt:P01711 Ig lambda chain V-II region VIL	
Proteins	P01596	UniProt:P01596 Ig kappa chain V-I region CAR	
Proteins	P01593	UniProt:P01593 Ig kappa chain V-I region AG	
Proteins	Q6PIL0	UniProt:Q6PIL0 IGHV7-81	
Proteins	A2KUC3	UniProt:A2KUC3 IGHV	
Proteins	P01702	UniProt:P01702 Ig lambda chain V-I region NIG-64	
Proteins	P01602	UniProt:P01602 IGKV1-5	
Proteins	A2NXD2	UniProt:A2NXD2 IGLV	
Proteins	P01705	UniProt:P01705 Ig lambda chain V-II region NEI	
Proteins	P01594	UniProt:P01594 Ig kappa chain V-I region AU	
Proteins	P01763	UniProt:P01763 Ig heavy chain V-III region WEA	
Proteins	Q5NV61	UniProt:Q5NV61 IGLV4-3	
Proteins	Q5NV82	UniProt:Q5NV82 IGLV5-45	
Proteins	P04209	UniProt:P04209 Ig lambda chain V-II region NIG-84	
Proteins	P01699	UniProt:P01699 Ig lambda chain V-I region VOR	
Proteins	P06887	UniProt:P06887 Ig lambda chain V-I region MEM	
Proteins	P06311	UniProt:P06311 Ig kappa chain V-III region IARC/BL41	
Proteins	P01709	UniProt:P01709 Ig lambda chain V-II region MGC	
Proteins	P01701	UniProt:P01701 Ig lambda chain V-I region NEW	
Proteins	P04431	UniProt:P04431 Ig kappa chain V-I region Walker	
Proteins	P01607	UniProt:P01607 Ig kappa chain V-I region Rei	
Proteins	P04430	UniProt:P04430 Ig kappa chain V-I region BAN	
Proteins	P01595	UniProt:P01595 Ig kappa chain V-I region Bi	
Proteins	Q5NV68	UniProt:Q5NV68 IGLV5-37	
Proteins	P01597	UniProt:P01597 Ig kappa chain V-I region DEE	
Proteins	P01599	UniProt:P01599 Ig kappa chain V-I region Gal	
Proteins	P01834	UniProt:P01834 IGKC	
Proteins	P01824	UniProt:P01824 Ig heavy chain V-II region WAH	
Proteins	P0CG06	UniProt:P0CG06 IGLC3	
Proteins	P01624	UniProt:P01624 Ig kappa chain V-III region POM	
Proteins	P01815	UniProt:P01815 Ig heavy chain V-II region COR	
Proteins	P04434	UniProt:P04434 Ig kappa chain V-III region VH	
Proteins	P18135	UniProt:P18135 Ig kappa chain V-III region HAH	
Proteins	P01876	UniProt:P01876 IGHA1	
Proteins	P01612	UniProt:P01612 Ig kappa chain V-I region Mev	
Proteins	Q5NV89	UniProt:Q5NV89 IGLV2-23	
Proteins	P20645	UniProt:P20645 M6PR	
Proteins	P62491	UniProt:P62491 RAB11A	
Proteins	P20338	UniProt:P20338 RAB4A	
Proteins	Q9BZE9	UniProt:Q9BZE9 ASPSCR1	
Proteins	P14672	UniProt:P14672 SLC2A4	
Proteins	Q9UK41	UniProt:Q9UK41 VPS28	
Proteins	Q8NEZ2	UniProt:Q8NEZ2 VPS37A	
Proteins	Q99816	UniProt:Q99816 TSG101	
Proteins	Q9H9H4	UniProt:Q9H9H4 VPS37B	
Proteins	Q86XT2	UniProt:Q86XT2 VPS37D	
Proteins	A5D8V6	UniProt:A5D8V6 VPS37C	
Proteins	Q9UBR2	UniProt:Q9UBR2 CTSZ	
Proteins	P15586	UniProt:P15586 GNS	
Proteins	O00115	UniProt:O00115 DNASE2	
Proteins	Q05193	UniProt:Q05193 DNM1	
Proteins	Q86YS7	UniProt:Q86YS7 C2CD5	
Proteins	O75061	UniProt:O75061 DNAJC6	
Proteins	P11142	UniProt:P11142 HSPA8	
Proteins	Q9Y587	UniProt:Q9Y587 AP4S1	
Proteins	O00189	UniProt:O00189 AP4M1	
Proteins	Q9BWP8	UniProt:Q9BWP8 COLEC11	
Proteins	P48740	UniProt:P48740 MASP1	
Proteins	Q9NP61	UniProt:Q9NP61 ARFGAP3	
Proteins	Q92538	UniProt:Q92538 GBF1	
Proteins	P63000	UniProt:P63000 RAC1	
Proteins	Q9NY15	UniProt:Q9NY15 STAB1	
Proteins	P17081	UniProt:P17081 RHOQ	
